DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin2+code+x_destination,#admin2+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
14-02-20,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,49,6,,,
15-02-20,29,Badghis,2903,Abkamari,30,Hirat,3007,Karukh,144,31,,,
15-02-20,29,Badghis,2904,Qadis,30,Hirat,3001,Hirat,40,5,,,
15-02-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,60,10,,,
15-02-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,94,17,,,
15-02-20,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,40,8,,,
15-02-20,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,10,2,,,
15-02-20,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,5,1,,,
16-02-20,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,36,6,,,
16-02-20,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,73,12,,,
16-02-20,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,27,5,,,
17-02-20,21,Ghor,2109,Tolak,30,Hirat,3005,Guzara,58,8,,,
17-02-20,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,24,4,,,
17-02-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,43,6,,,
17-02-20,29,Badghis,2905,Jawand,29,Badghis,2901,Qala-e-Naw,10,2,,,
18-02-20,29,Badghis,2905,Jawand,30,Hirat,3002,Injil,48,8,,,
18-02-20,30,Hirat,3003,Kushk,30,Hirat,3002,Injil,35,5,,,
18-02-20,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,48,8,,,
18-02-20,31,Farah,3101,Farah,31,Farah,3101,Farah,70,12,,,
18-02-20,29,Badghis,2904,Qadis,29,Badghis,2901,Qala-e-Naw,22,4,,,
19-02-20,22,Daykundi,2208,Kajran,30,Hirat,3002,Injil,18,3,,,
19-02-20,30,Hirat,3013,Kushk-e-Kohna,30,Hirat,3002,Injil,14,2,,,
19-02-20,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,35,5,,,
19-02-20,31,Farah,3109,Gulestan,31,Farah,3101,Farah,18,3,,,
19-02-20,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,36,6,,,
20-02-20,21,Ghor,2105,Shahrak,30,Hirat,3002,Injil,36,6,,,
20-02-20,30,Hirat,3008,Gulran,30,Hirat,3002,Injil,20,5,,,
20-02-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,28,4,,,
20-02-20,31,Farah,3108,Lash-e-Juwayn,31,Farah,3101,Farah,31,5,,,
20-02-20,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,35,5,,,
21-02-20,30,Hirat,3008,Gulran,30,Hirat,3002,Injil,24,4,,,
21-02-20,30,Hirat,3015,Shindand,30,Hirat,3002,Injil,24,3,,,
21-02-20,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,21,3,,,
21-02-20,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,31,4,,,
21-02-20,29,Badghis,2904,Qadis,29,Badghis,2901,Qala-e-Naw,5,1,,,
22-02-20,30,Hirat,3013,Kushk-e-Kohna,30,Hirat,3002,Injil,24,4,,,
22-02-20,30,Hirat,3011,Farsi,30,Hirat,3002,Injil,40,5,,,
22-02-20,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,21,3,,,
22-02-20,31,Farah,3110,Purchaman,31,Farah,3101,Farah,32,7,,,
22-02-20,29,Badghis,0,Balamurgab,29,Badghis,2901,Qala-e-Naw,5,1,,,
23-02-20,30,Hirat,3012,Obe,30,Hirat,3002,Injil,18,3,,,
23-02-20,29,Badghis,2904,Qadis,30,Hirat,3002,Injil,14,2,,,
23-02-20,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,14,2,,,
